"date","country","keyword","hits"
2017-12-21,"FR","Rolex",1
2017-12-21,"JP","iPhone",58
2017-12-21,"JP","Tesla",1
2017-12-21,"JP","Rolex",2
2017-12-21,"MX","iPhone",86
2017-12-21,"MX","Tesla",3
2017-12-21,"MX","Rolex",0
2017-12-21,"US","iPhone",65
2017-12-21,"US","Tesla",5
2017-12-21,"US","Rolex",2
2017-12-22,"DE","iPhone",61
2017-12-22,"DE","Tesla",5
2017-12-22,"DE","Rolex",4
2017-12-22,"FR","iPhone",48
2017-12-22,"FR","Tesla",2
2017-12-22,"FR","Rolex",2
2017-12-22,"JP","iPhone",59
2017-12-22,"JP","Tesla",1
2017-12-22,"JP","Rolex",2
2017-12-22,"MX","iPhone",89
2017-12-22,"MX","Tesla",0
2017-12-22,"MX","Rolex",0
2017-12-22,"US","iPhone",66
2017-12-22,"US","Tesla",5
2017-12-22,"US","Rolex",3
2017-12-23,"DE","iPhone",69
2017-12-23,"DE","Tesla",6
2017-12-23,"DE","Rolex",4
2017-12-23,"FR","iPhone",59
2017-12-23,"FR","Tesla",2
2017-12-23,"FR","Rolex",2
2017-12-23,"JP","iPhone",73
2017-12-23,"JP","Tesla",1
2017-12-23,"JP","Rolex",2
2017-12-23,"MX","iPhone",87
2017-12-23,"MX","Tesla",5
2017-12-23,"MX","Rolex",0
2017-12-23,"US","iPhone",70
2017-12-23,"US","Tesla",7
2017-12-23,"US","Rolex",3
2017-12-24,"DE","iPhone",90
2017-12-24,"DE","Tesla",5
2017-12-24,"DE","Rolex",6
2017-12-24,"FR","iPhone",66
2017-12-24,"FR","Tesla",3
2017-12-24,"FR","Rolex",2
2017-12-24,"JP","iPhone",69
2017-12-24,"JP","Tesla",1
2017-12-24,"JP","Rolex",3
2017-12-24,"MX","iPhone",100
2017-12-24,"MX","Tesla",0
2017-12-24,"MX","Rolex",0
2017-12-24,"US","iPhone",72
2017-12-24,"US","Tesla",5
2017-12-24,"US","Rolex",3
2017-12-25,"DE","iPhone",100
2017-12-25,"DE","Tesla",5
2017-12-25,"DE","Rolex",5
2017-12-25,"FR","iPhone",100
2017-12-25,"FR","Tesla",3
2017-12-25,"FR","Rolex",3
2017-12-25,"JP","iPhone",62
2017-12-25,"JP","Tesla",1
2017-12-25,"JP","Rolex",2
2017-12-25,"MX","iPhone",88
2017-12-25,"MX","Tesla",0
2017-12-25,"MX","Rolex",0
2017-12-25,"US","iPhone",100
2017-12-25,"US","Tesla",5
2017-12-25,"US","Rolex",4
2017-12-26,"DE","iPhone",83
2017-12-26,"DE","Tesla",5
2017-12-26,"DE","Rolex",5
2017-12-26,"FR","iPhone",70
2017-12-26,"FR","Tesla",2
2017-12-26,"FR","Rolex",2
2017-12-26,"JP","iPhone",61
2017-12-26,"JP","Tesla",1
2017-12-26,"JP","Rolex",2
2017-12-26,"MX","iPhone",92
2017-12-26,"MX","Tesla",0
2017-12-26,"MX","Rolex",0
2017-12-26,"US","iPhone",87
2017-12-26,"US","Tesla",5
2017-12-26,"US","Rolex",3
2017-12-27,"DE","iPhone",70
2017-12-27,"DE","Tesla",5
2017-12-27,"DE","Rolex",3
2017-12-27,"FR","iPhone",58
2017-12-27,"FR","Tesla",2
2017-12-27,"FR","Rolex",2
2017-12-27,"JP","iPhone",61
2017-12-27,"JP","Tesla",1
2017-12-27,"JP","Rolex",2
2017-12-27,"MX","iPhone",91
2017-12-27,"MX","Tesla",0
2017-12-27,"MX","Rolex",4
2017-12-27,"US","iPhone",79
2017-12-27,"US","Tesla",6
2017-12-27,"US","Rolex",2
2017-12-28,"DE","iPhone",68
2017-12-28,"DE","Tesla",4
2017-12-28,"DE","Rolex",3
2017-12-28,"FR","iPhone",57
2017-12-28,"FR","Tesla",3
2017-12-28,"FR","Rolex",2
2017-12-28,"JP","iPhone",61
2017-12-28,"JP","Tesla",1
2017-12-28,"JP","Rolex",2
2017-12-28,"MX","iPhone",94
2017-12-28,"MX","Tesla",4
2017-12-28,"MX","Rolex",0
2017-12-28,"US","iPhone",71
2017-12-28,"US","Tesla",5
2017-12-28,"US","Rolex",2
2017-12-29,"DE","iPhone",73
2017-12-29,"DE","Tesla",4
2017-12-29,"DE","Rolex",3
2017-12-29,"FR","iPhone",57
2017-12-29,"FR","Tesla",2
2017-12-29,"FR","Rolex",2
2017-12-29,"JP","iPhone",72
2017-12-29,"JP","Tesla",1
2017-12-29,"JP","Rolex",2
2017-12-29,"MX","iPhone",92
2017-12-29,"MX","Tesla",4
2017-12-29,"MX","Rolex",0
2017-12-29,"US","iPhone",73
2017-12-29,"US","Tesla",5
2017-12-29,"US","Rolex",2
2017-12-30,"DE","iPhone",68
2017-12-30,"DE","Tesla",4
2017-12-30,"DE","Rolex",3
2017-12-30,"FR","iPhone",53
2017-12-30,"FR","Tesla",2
2017-12-30,"FR","Rolex",1
2017-12-30,"JP","iPhone",73
2017-12-30,"JP","Tesla",1
2017-12-30,"JP","Rolex",2
2017-12-30,"MX","iPhone",100
2017-12-30,"MX","Tesla",0
2017-12-30,"MX","Rolex",0
2017-12-30,"US","iPhone",71
2017-12-30,"US","Tesla",5
2017-12-30,"US","Rolex",2
2017-12-31,"DE","iPhone",58
2017-12-31,"DE","Tesla",3
2017-12-31,"DE","Rolex",4
2017-12-31,"FR","iPhone",46
2017-12-31,"FR","Tesla",2
2017-12-31,"FR","Rolex",2
2017-12-31,"JP","iPhone",61
2017-12-31,"JP","Tesla",1
2017-12-31,"JP","Rolex",2
2017-12-31,"MX","iPhone",96
2017-12-31,"MX","Tesla",5
2017-12-31,"MX","Rolex",0
2017-12-31,"US","iPhone",65
2017-12-31,"US","Tesla",4
2017-12-31,"US","Rolex",2
2018-01-01,"DE","iPhone",67
2018-01-01,"DE","Tesla",4
2018-01-01,"DE","Rolex",3
2018-01-01,"FR","iPhone",54
2018-01-01,"FR","Tesla",3
2018-01-01,"FR","Rolex",2
2018-01-01,"JP","iPhone",64
2018-01-01,"JP","Tesla",1
2018-01-01,"JP","Rolex",2
2018-01-01,"MX","iPhone",78
2018-01-01,"MX","Tesla",0
2018-01-01,"MX","Rolex",0
2018-01-01,"US","iPhone",64
2018-01-01,"US","Tesla",4
2018-01-01,"US","Rolex",2
2018-01-02,"DE","iPhone",63
2018-01-02,"DE","Tesla",4
2018-01-02,"DE","Rolex",3
2018-01-02,"FR","iPhone",49
2018-01-02,"FR","Tesla",2
2018-01-02,"FR","Rolex",1
2018-01-02,"JP","iPhone",70
2018-01-02,"JP","Tesla",1
2018-01-02,"JP","Rolex",2
2018-01-02,"MX","iPhone",83
2018-01-02,"MX","Tesla",0
2018-01-02,"MX","Rolex",0
2018-01-02,"US","iPhone",60
2018-01-02,"US","Tesla",4
2018-01-02,"US","Rolex",2
2018-01-03,"DE","iPhone",57
2018-01-03,"DE","Tesla",4
2018-01-03,"DE","Rolex",3
2018-01-03,"FR","iPhone",45
2018-01-03,"FR","Tesla",2
2018-01-03,"FR","Rolex",1
2018-01-03,"JP","iPhone",71
2018-01-03,"JP","Tesla",1
2018-01-03,"JP","Rolex",2
2018-01-03,"MX","iPhone",86
2018-01-03,"MX","Tesla",5
2018-01-03,"MX","Rolex",4
2018-01-03,"US","iPhone",57
2018-01-03,"US","Tesla",5
2018-01-03,"US","Rolex",2
2018-01-04,"DE","iPhone",60
2018-01-04,"DE","Tesla",7
2018-01-04,"DE","Rolex",3
2018-01-04,"FR","iPhone",43
2018-01-04,"FR","Tesla",3
2018-01-04,"FR","Rolex",1
2018-01-04,"JP","iPhone",69
2018-01-04,"JP","Tesla",1
2018-01-04,"JP","Rolex",2
2018-01-04,"MX","iPhone",90
2018-01-04,"MX","Tesla",7
2018-01-04,"MX","Rolex",0
2018-01-04,"US","iPhone",56
2018-01-04,"US","Tesla",5
2018-01-04,"US","Rolex",2
2018-01-05,"DE","iPhone",56
2018-01-05,"DE","Tesla",4
